game_id,names,min_players,max_players,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,weight,player_range,time_range,Action Point Allowance System,Area Control / Area Influence,Area Movement,Auction/Bidding,Card Drafting,Co-operative Play,Deck / Pool Building,Dice Rolling,Grid Movement,Hand Management,Hex-and-Counter,Modular Board,Point to Point Movement,Route/Network Building,Set Collection,Simulation,Simultaneous Action Selection,Tile Placement,Variable Player Powers,Worker Placement,other_mechanic,Abstract Strategy,Adventure,Ancient,Animals,Bluffing,Card Game,City Building,Deduction,Dice,Economic,Exploration,Fantasy,Fighting,Medieval,Miniatures,Party Game,Science Fiction,combined_war,other_category
174430,Gloomhaven,1,4,60,120,2017,8.98893,8.61858,15376,12.0,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers",25928,"Adventure, Exploration, Fantasy, Fighting, Miniatures",3.7543,1-4,60-120,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
161936,Pandemic Legacy: Season 1,2,4,60,60,2015,8.6614,8.50163,26063,13.0,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",41605,"Environmental, Medical",2.821,2-4,60-60,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
182028,Through the Ages: A New Story of Civilization,2,4,180,240,2015,8.60673,8.30183,12352,14.0,"Action Point Allowance System, Auction/Bidding, Card Drafting",15848,"Card Game, Civilization, Economic",4.3678,2-4,180-240,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
167791,Terraforming Mars,1,5,120,120,2016,8.38461,8.19914,26004,12.0,"Card Drafting, Hand Management, Set Collection, Tile Placement, Variable Player Powers",33340,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",3.2456,1-5,120-120,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
12333,Twilight Struggle,2,2,120,180,2005,8.33954,8.19787,31301,13.0,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection",42952,"Modern Warfare, Political, Wargame",3.5518,2-2,120-180,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
187645,Star Wars: Rebellion,2,4,180,240,2016,8.47439,8.16545,13336,14.0,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Partnerships, Variable Player Powers",20682,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",3.6311,2-4,180-240,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
169786,Scythe,1,5,90,115,2016,8.29158,8.107999999999999,29219,14.0,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers",38279,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",3.3609,1-5,90-115,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2
120677,Terra Mystica,2,5,60,150,2012,8.23703,8.09296,29309,12.0,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers",32637,"Civilization, Economic, Fantasy, Territory Building",3.9505,2-5,60-150,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
193738,Great Western Trail,2,4,75,150,2016,8.285739999999999,8.04047,13521,12.0,"Deck / Pool Building, Hand Management, Point to Point Movement",16869,American West,3.7011,2-4,75-150,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
220308,Gaia Project,1,4,60,150,2017,8.68217,8.00732,4860,12.0,"Modular Board, Route/Network Building, Variable Player Powers",6243,"Civilization, Economic, Science Fiction, Territory Building",4.2966,1-4,60-150,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
